Date,ConnType,Longitude,Latitude,Freq Band Indicator,Physical Cell ID,Measured RSSI,Measured RSRP,Measured RSRQ,Download speed,Download size,Upload speed,Upload size,Latency,Altitude,GPS coordinates,Geo location
01/03/2022 14:30,3G,-6.260654429,53.29565285,11,111,325.22,435.22,25.78,131.357,6.822600221,0,0,35 ms,2,"53.126922, -6.0615824","123, Greystones, County Wicklow, Ireland"
02/03/2022 14:35,5G,-6.141088361,53.28036061,1,222,425.22,335.22,55.78,136.51,15.62244297,0,0,33 ms,3,"53.126922, -6.0615824","123, Greystones, County Wicklow, Ireland"
03/03/2022 14:40,LTE,-6.229464911,53.26826402,23,333,525.22,135.22,35.78,131.012,16.3765,48.825,2.394481741,23 ms,32,"53.126922, -6.0615824","123, Greystones, County Wicklow, Ireland"
01/03/2022 14:30,3G,-6.251335322,53.29388034,11,111,325.22,435.22,25.78,131.357,6.822600221,0,0,35 ms,54,"53.126922, -6.0615824","123, Greystones, County Wicklow, Ireland"
02/03/2022 14:35,5G,-6.170132482,53.26209213,1,222,425.22,335.22,55.78,136.51,15.62244297,0,0,33 ms,89,"53.126922, -6.0615824","123, Greystones, County Wicklow, Ireland"
03/03/2022 14:40,LTE,-6.130960795,53.23671025,23,333,525.22,135.22,35.78,131.012,16.3765,48.825,2.394481741,23 ms,43,"53.126922, -6.0615824","123, Greystones, County Wicklow, Ireland"
01/03/2022 14:30,3G,-6.256875578,53.28817427,11,111,325.22,435.22,25.78,131.357,6.822600221,0,0,35 ms,64,"53.126922, -6.0615824","123, Greystones, County Wicklow, Ireland"
02/03/2022 14:35,5G,-6.147595942,53.29346173,1,222,425.22,335.22,55.78,136.51,15.62244297,0,0,33 ms,90,"53.126922, -6.0615824","123, Greystones, County Wicklow, Ireland"
03/03/2022 14:40,LTE,-6.196467623,53.30736557,23,333,525.22,135.22,35.78,131.012,16.3765,48.825,2.394481741,23 ms,32,"53.126922, -6.0615824","123, Greystones, County Wicklow, Ireland"
01/03/2022 14:30,3G,-6.122428875,53.24189581,11,111,325.22,435.22,25.78,131.357,6.822600221,0,0,35 ms,34,"53.126922, -6.0615824","123, Greystones, County Wicklow, Ireland"
